Date,AAPL US Equity - Price Earnings Ratio (P/E),AAPL US Equity - Enterprise Value/EBITDA,AAPL US Equity - Price to Sales Ratio,IBM US Equity - Price Earnings Ratio (P/E),IBM US Equity - Enterprise Value/EBITDA,IBM US Equity - Price to Sales Ratio,IBM US Equity - Price to Free Cash Flow,WMT US Equity - Price Earnings Ratio (P/E),WMT US Equity - Enterprise Value/EBITDA,WMT US Equity - Price to Sales Ratio,KO Equity (USD) - Price Earnings Ratio (P/E),KO Equity (USD) - Enterprise Value/EBITDA,KO Equity (USD) - Price to Sales Ratio
5/1/2004,59.9535,16.75,1.3035,19.3602,11.0695,1.5808,12.6669,26.6355,15.9409,0.9354,24.6683,18.212,5.7356
4/1/2004,62.8837,18.3272,1.3672,20.166,11.4879,1.6466,13.1942,29.1171,16.5028,1.0154,24.5366,18.1864,5.705
3/1/2004,72.4848,23.675,1.283,21.1893,12.306,1.7796,15.5858,29.0537,16.4698,1.0132,25.4898,18.6795,5.837
2/1/2004,68.3636,24.8632,1.2101,21.7887,12.6236,1.8299,16.0267,26.2683,15.0189,0.916,25.1224,18.4608,5.7529
1/1/2004,64.7576,30.1633,1.1462,20.3505,11.8616,1.7091,14.9688,27.2051,15.4884,0.9371,25.8929,19.0179,5.9293
12/1/2003,104.55,23.7155,1.2151,22.1745,13.2469,1.7102,14.2399,28.5333,16.3077,0.9828,24.734,17.7122,5.5464
11/1/2003,114.45,27.0157,1.3302,21.9149,13.1739,1.6902,14.0732,30.2308,17.1846,1.0413,24.6809,17.6747,5.5345
10/1/2003,103.6,22.3498,1.2041,21.6332,13.0212,1.6684,13.8924,29.5503,14.7038,1.0195,22.8511,16.4249,5.1242
9/1/2003,161.5,9.3529,1.3708,20.2411,12.439,1.573,13.3344,31.3069,15.5358,1.0801,24.0442,16.6497,5.294
8/1/2003,150.5714,8.3968,1.278,20.0535,12.323,1.5584,13.2108,29.582,14.7482,1.0206,24.8453,17.2304,5.4704
7/1/2003,136.1429,9.5397,1.1556,20.362,12.491,1.5824,13.4141,29.489,14.7299,1.0097,25.6409,17.7711,5.6456
6/1/2003,99.7222,7.7541,1.1065,22.5449,14.7492,1.7225,15.78,28.9066,14.4866,0.9897,26.04,17.6396,5.6454
5/1/2003,79,7.552,0.8766,21.7409,14.2727,1.6611,15.2172,30.9451,15.4104,1.0595,23.0857,15.6896,5.0049
4/1/2003,78.5556,9.4077,0.8717,20.0841,13.3169,1.5345,14.0576,29.3955,14.751,1.0019,23.1314,15.768,5.0148
3/1/2003,60.04,10.6553,0.9175,20.2875,13.5825,1.5615,14.017,27.1525,13.732,0.9254,23.3837,15.9233,5.0958
2/1/2003,57.44,7.2125,0.8778,20.3525,13.6203,1.5665,14.0619,27.0056,13.6653,0.9204,23.5233,16.0155,5.1262
1/1/2003,57.32,5.6924,0.8759,20.1704,13.5144,1.5525,13.9361,29.7118,14.7097,0.9847,25.4884,17.3144,5.5545
12/1/2002,46.9697,6.4897,0.9584,20.704,13.9196,1.7817,16.3616,31.7059,15.6215,1.0508,29.6667,18.985,6.5009
11/1/2002,48.697,10.1005,0.9936,18.8032,12.8261,1.6182,14.8594,31.5,15.53,1.044,29.5346,18.9007,6.472
10/1/2002,43.9394,16.7571,0.8965,13.8892,9.92,1.1953,10.9761,30.2086,16.5622,0.973,30.1132,19.2765,6.5988
9/1/2002,30.102,17.9517,0.9057,18.0452,12.4299,1.5552,13.9348,32.8098,17.9473,1.0568,29.4654,18.8627,6.4568
8/1/2002,31.1429,17.0569,0.937,16.853,11.8332,1.4525,13.0142,30.1718,16.63,0.9718,30.4188,20.1322,6.3991
7/1/2002,36.1633,16.9784,1.088,17.236,12.0602,1.4855,13.31,35.4903,18.8479,1.106,27.875,18.4848,5.864
6/1/2002,40.8772,21.8817,1.4117,17.7877,11.9179,1.6435,14.0538,34.9032,18.5731,1.0877,28.125,18.6466,5.9166
5/1/2002,42.5789,17.1395,1.4704,18.5196,12.3753,1.7111,14.632,36.0387,19.1285,1.1231,29.8113,19.3679,5.9201
4/1/2002,41.5263,44.9448,1.4341,22.9947,14.9856,2.1246,18.1677,40.8667,22.0218,1.2567,29.0503,18.8753,5.7689
3/1/2002,38.0702,28.4892,1.3223,20.4185,13.2152,1.9554,18.9419,41.34,22.2637,1.2713,28.4025,18.4582,5.6403
2/1/2002,43.3684,41.2919,1.5063,22.4516,14.3871,2.1501,20.828,39.9867,21.5862,1.2297,33.9936,22.8622,6.4746
1/1/2002,38.4211,13.8361,1.3345,25.1714,15.9549,2.4106,23.3511,39.4178,20.6748,1.2239,37.1795,24.9824,7.0814
12/1/2001,93.9658,2.8234,1.3756,23.8977,14.3313,2.222,25.6526,37.774,19.8807,1.1728,39.0625,26.2355,7.4401
11/1/2001,112.3834,4.4657,1.1341,22.343,13.5647,2.0775,23.9837,35.2055,18.6775,1.0931,42.3142,32.9275,7.6112
10/1/2001,113.8374,7.7838,1.0017,18.9627,11.779,1.7632,20.3552,34.375,18.5475,1.0894,40.7939,31.7716,7.3377
9/1/2001,140.8579,27.842,1.0867,20.1836,12.0756,1.8847,29.1972,33.3681,18.0704,1.0575,37.2466,29.0416,6.6997
8/1/2001,36.6015,22.3099,1.1008,21.2458,12.6445,1.9839,30.7337,38.8194,20.7347,1.2303,38.1482,27.0821,6.5214
7/1/2001,46.7655,23.1719,1.3621,22.8189,13.6059,2.1308,33.0093,34.1259,18.2118,1.1103,44.4293,31.6706,7.5952
6/1/2001,40.491,20.2144,1.081,23.1141,13.2811,2.0973,46.4502,36.1888,19.2192,1.1774,41.6214,29.597,7.1152
5/1/2001,20.8557,32.3901,1.3812,23.8047,13.7952,2.16,47.8379,36.1818,19.2158,1.1772,40.4356,29.8862,6.7028
4/1/2001,24.7126,36.0331,1.1959,19.8848,11.7748,1.8043,39.9605,35.5634,18.4622,1.1785,35.7955,26.5377,5.9336
3/1/2001,16.9988,34.6265,0.8983,21.4429,12.2106,1.9032,45.8829,35.2746,18.3253,1.169,35.5587,26.3689,5.8944
